WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
competent	D6180738F37A31312E820B069C47C3C0	2	7	7	3
wrongfully	D6180738F37A31312E820B069C47C3C0	1	2	3	4
slavery	D6180738F37A31312E820B069C47C3C0	1	5	2	5
disproportionately	D6180738F37A31312E820B069C47C3C0	1	5	5	4
impartial	D6180738F37A31312E820B069C47C3C0	1	7	6	9
confounding	D6180738F37A31312E820B069C47C3C0	2	4	5	5
bigotry	D6180738F37A31312E820B069C47C3C0	1	6	2	4
relatively	D6180738F37A31312E820B069C47C3C0	1	6	6	5
inhumane	D6180738F37A31312E820B069C47C3C0	1	2	7	2
proportionality	D6180738F37A31312E820B069C47C3C0	1	5	2	1
consumerism	D6180738F37A31312E820B069C47C3C0	1	6	6	4
accepting	D6180738F37A31312E820B069C47C3C0	1	4	6	7
permanency	8F19CDD26BDBD0605677A832E6EF7B80	1	5	5	7
honest	8F19CDD26BDBD0605677A832E6EF7B80	1	9	1	9
proportionality	8F19CDD26BDBD0605677A832E6EF7B80	2	5	4	4
impartial	E6F53B54A4814DA2614922482CD00894	1	8	5	9
homophobic	E6F53B54A4814DA2614922482CD00894	2	1	2	1
permanency	E6F53B54A4814DA2614922482CD00894	1	7	3	5
accepting	E6F53B54A4814DA2614922482CD00894	1	8	2	8
oppression	E6F53B54A4814DA2614922482CD00894	2	1	5	1
subjective	E6F53B54A4814DA2614922482CD00894	2	5	6	2
inhumane	E6F53B54A4814DA2614922482CD00894	2	1	6	1
inaccurate	E6F53B54A4814DA2614922482CD00894	2	2	5	2
wrongfully	E6F53B54A4814DA2614922482CD00894	2	2	6	2
bigotry	E6F53B54A4814DA2614922482CD00894	2	1	7	1
honest	E6F53B54A4814DA2614922482CD00894	1	8	6	9
competent	E6F53B54A4814DA2614922482CD00894	1	7	5	9
inhumane	CCCE000DABB136037FB67740E90F1EE7	1	3	5	6
subjective	CCCE000DABB136037FB67740E90F1EE7	1	5	4	5
impartial	CCCE000DABB136037FB67740E90F1EE7	1	6	4	8
consumerism	CCCE000DABB136037FB67740E90F1EE7	1	3	5	3
wrongfully	CCCE000DABB136037FB67740E90F1EE7	1	3	4	8
competent	CCCE000DABB136037FB67740E90F1EE7	1	5	5	4
permanency	CCCE000DABB136037FB67740E90F1EE7	1	5	5	4
disproportionately	CCCE000DABB136037FB67740E90F1EE7	1	4	5	3
slavery	CCCE000DABB136037FB67740E90F1EE7	1	1	7	2
relatively	CCCE000DABB136037FB67740E90F1EE7	1	5	5	6
inaccurate	CCCE000DABB136037FB67740E90F1EE7	1	4	5	6
confounding	CCCE000DABB136037FB67740E90F1EE7	2	5	5	5
disproportionately	B778FDC5991619C6D86F71BA87A95FE6	1	2	2	1
impartial	B778FDC5991619C6D86F71BA87A95FE6	1	7	2	9
bigotry	B778FDC5991619C6D86F71BA87A95FE6	1	1	5	9
impartial	408A5456560E6B6AC49B24B3E1A8C4F5	1	2	2	5
bigotry	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
proportionality	408A5456560E6B6AC49B24B3E1A8C4F5	1	6	5	5
wrongfully	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
amplitude	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
honest	408A5456560E6B6AC49B24B3E1A8C4F5	1	9	9	9
homophobic	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
inaccurate	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
permanency	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
slavery	09E56CFB89A8A152D2997CA77B0483B1	1	2	8	2
honest	09E56CFB89A8A152D2997CA77B0483B1	1	7	4	8
inaccurate	09E56CFB89A8A152D2997CA77B0483B1	1	3	7	3
slavery	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
consumerism	408A5456560E6B6AC49B24B3E1A8C4F5	1	5	5	5
