WORD	ANNOTATOR_ID	RELEVANCE	VALENCE	AROUSAL	EXPRESSED_MORAL
founder	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	7	7	8
loyalist	0FCA84D0CB823F640700C4F6C6EB27EB	1	8	6	8
cruelty	390DB22EFBB15CDBAE7A7F26898E2D58	2	1	6	1
rogue	390DB22EFBB15CDBAE7A7F26898E2D58	1	1	4	1
bandit	390DB22EFBB15CDBAE7A7F26898E2D58	2	4	5	4
loyalist	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	7	5	8
amity	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	6	6	8
cowardice	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	4	8	6
insulting	0DFB3C2207C5EDD6A47860D76A9D2BA0	2	3	5	4
clap	390DB22EFBB15CDBAE7A7F26898E2D58	1	9	9	9
cowardice	390DB22EFBB15CDBAE7A7F26898E2D58	1	3	5	3
lovingly	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	7	6	6
cruelty	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	2	3	7
clap	0DFB3C2207C5EDD6A47860D76A9D2BA0	2	6	4	6
insulting	390DB22EFBB15CDBAE7A7F26898E2D58	1	2	7	2
nationalism	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	7	4	6
stupidity	0DFB3C2207C5EDD6A47860D76A9D2BA0	2	5	5	5
dedication	0DFB3C2207C5EDD6A47860D76A9D2BA0	1	7	5	8
founder	390DB22EFBB15CDBAE7A7F26898E2D58	1	9	7	9
lust	390DB22EFBB15CDBAE7A7F26898E2D58	1	3	6	2
loyalist	390DB22EFBB15CDBAE7A7F26898E2D58	1	9	1	9
amity	390DB22EFBB15CDBAE7A7F26898E2D58	1	9	5	9
dedication	38216E92EB31E7C8D99937F4BD081EBF	1	8	9	8
stupidity	390DB22EFBB15CDBAE7A7F26898E2D58	2	4	5	4
slippery	38216E92EB31E7C8D99937F4BD081EBF	1	3	3	1
founder	38216E92EB31E7C8D99937F4BD081EBF	1	5	5	5
scripture	390DB22EFBB15CDBAE7A7F26898E2D58	1	9	1	9
stupidity	38216E92EB31E7C8D99937F4BD081EBF	2	5	5	5
cruelty	38216E92EB31E7C8D99937F4BD081EBF	2	2	5	2
lovingly	38216E92EB31E7C8D99937F4BD081EBF	1	7	7	7
clap	38216E92EB31E7C8D99937F4BD081EBF	1	5	5	5
lust	38216E92EB31E7C8D99937F4BD081EBF	1	6	7	6
cowardice	38216E92EB31E7C8D99937F4BD081EBF	1	1	5	3
bandit	38216E92EB31E7C8D99937F4BD081EBF	1	1	5	1
scripture	38216E92EB31E7C8D99937F4BD081EBF	2	5	5	5
loyalist	38216E92EB31E7C8D99937F4BD081EBF	1	8	7	8
allegiance	CD2939FD896972CFD4E9B5A903830F73	1	7	6	8
amity	102701A4F195DD5BEF9F4EF41D039663	1	8	5	9
siding	1852B2288BC8145BCE420F7038528F07	1	6	7	7
lust	1852B2288BC8145BCE420F7038528F07	1	8	8	8
lovingly	1852B2288BC8145BCE420F7038528F07	1	8	7	7
insulting	1852B2288BC8145BCE420F7038528F07	2	1	8	2
cowardice	1852B2288BC8145BCE420F7038528F07	2	1	6	1
amity	1852B2288BC8145BCE420F7038528F07	1	8	8	8
slippery	1852B2288BC8145BCE420F7038528F07	2	3	5	3
nationalism	1852B2288BC8145BCE420F7038528F07	1	5	5	7
consulate	1852B2288BC8145BCE420F7038528F07	1	5	5	6
founder	1852B2288BC8145BCE420F7038528F07	1	6	7	7
dedication	1852B2288BC8145BCE420F7038528F07	1	6	6	7
covert	1852B2288BC8145BCE420F7038528F07	1	5	5	5
cowardice	09E56CFB89A8A152D2997CA77B0483B1	1	1	7	1
clap	72365E20A127BE3824D83AC8120B314D	1	6	7	7
slippery	09E56CFB89A8A152D2997CA77B0483B1	1	4	8	3
bandit	72365E20A127BE3824D83AC8120B314D	1	4	4	3
rogue	72365E20A127BE3824D83AC8120B314D	1	5	5	3
bandit	09E56CFB89A8A152D2997CA77B0483B1	1	1	8	1
amity	72365E20A127BE3824D83AC8120B314D	1	3	3	3
dedication	72365E20A127BE3824D83AC8120B314D	1	2	3	3
slippery	72365E20A127BE3824D83AC8120B314D	1	3	4	4
covert	09E56CFB89A8A152D2997CA77B0483B1	1	3	7	3
insulting	72365E20A127BE3824D83AC8120B314D	1	2	4	4
founder	72365E20A127BE3824D83AC8120B314D	1	5	6	1
amity	09E56CFB89A8A152D2997CA77B0483B1	1	8	2	9
consulate	72365E20A127BE3824D83AC8120B314D	1	3	3	3
cruelty	72365E20A127BE3824D83AC8120B314D	1	5	6	1
nationalism	72365E20A127BE3824D83AC8120B314D	1	3	4	3
lovingly	09E56CFB89A8A152D2997CA77B0483B1	1	7	2	7
founder	49B756323D5EBA41F3874E46A1A134A1	2	5	2	5
stupidity	09E56CFB89A8A152D2997CA77B0483B1	2	3	7	3
amity	49B756323D5EBA41F3874E46A1A134A1	1	9	8	9
allegiance	49B756323D5EBA41F3874E46A1A134A1	1	9	9	9
scripture	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
nationalism	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
consulate	09E56CFB89A8A152D2997CA77B0483B1	1	6	7	7
siding	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
lovingly	49B756323D5EBA41F3874E46A1A134A1	1	8	7	8
clap	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
lust	09E56CFB89A8A152D2997CA77B0483B1	1	6	3	7
covert	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
founder	09E56CFB89A8A152D2997CA77B0483B1	1	6	6	7
insulting	09E56CFB89A8A152D2997CA77B0483B1	1	3	8	3
dedication	09E56CFB89A8A152D2997CA77B0483B1	1	6	7	6
consulate	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
slippery	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
dedication	49B756323D5EBA41F3874E46A1A134A1	2	5	5	5
lust	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	3	3	2
scripture	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	6	2	7
bandit	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	3	4	1
loyalist	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	5	5	9
cruelty	9ADD0ACCFEDEACE5717A3262B7BF41FB	2	2	6	2
nationalism	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	8	6	9
covert	9ADD0ACCFEDEACE5717A3262B7BF41FB	2	2	6	3
rogue	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	4	5	1
stupidity	9ADD0ACCFEDEACE5717A3262B7BF41FB	2	2	3	5
allegiance	9ADD0ACCFEDEACE5717A3262B7BF41FB	1	6	2	9
slippery	9ADD0ACCFEDEACE5717A3262B7BF41FB	2	5	3	5
insulting	9ADD0ACCFEDEACE5717A3262B7BF41FB	2	3	6	4
rogue	BBDE0900E43E56DD931881F25AB4F683	2	6	6	3
allegiance	BBDE0900E43E56DD931881F25AB4F683	1	9	8	9
consulate	BBDE0900E43E56DD931881F25AB4F683	2	5	5	5
covert	BBDE0900E43E56DD931881F25AB4F683	2	5	5	5
bandit	BBDE0900E43E56DD931881F25AB4F683	1	2	1	2
scripture	BBDE0900E43E56DD931881F25AB4F683	2	5	5	5
cruelty	BBDE0900E43E56DD931881F25AB4F683	1	3	3	2
siding	BBDE0900E43E56DD931881F25AB4F683	2	5	5	5
nationalism	BBDE0900E43E56DD931881F25AB4F683	1	7	7	7
allegiance	4C0D0E1AA52225E8A19BC06D555FE422	1	9	9	9
siding	328DA17593A61A80331F656D235924D7	1	7	1	9
allegiance	328DA17593A61A80331F656D235924D7	1	9	1	9
clap	328DA17593A61A80331F656D235924D7	1	9	9	9
siding	4C0D0E1AA52225E8A19BC06D555FE422	1	4	4	4
siding	064583C92A80238D5EB170977B827E5E	1	5	1	9
loyalist	064583C92A80238D5EB170977B827E5E	1	5	1	9
allegiance	064583C92A80238D5EB170977B827E5E	1	5	1	9
consulate	064583C92A80238D5EB170977B827E5E	2	5	1	5
rogue	064583C92A80238D5EB170977B827E5E	1	5	1	1
clap	064583C92A80238D5EB170977B827E5E	2	5	1	5
rogue	328DA17593A61A80331F656D235924D7	1	4	5	1
allegiance	C8E09CE43795450165D3D9C9BD118D86	1	5	1	9
siding	C8E09CE43795450165D3D9C9BD118D86	1	5	1	7
consulate	4C0D0E1AA52225E8A19BC06D555FE422	1	9	9	9
apostate	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	5	5
commune	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	6	5
devotee	BA45B96CDD19418387D57EEE75A1F127	1	5	5	8
family	BA45B96CDD19418387D57EEE75A1F127	1	3	7	6
joint	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	5	5
cohort	BA45B96CDD19418387D57EEE75A1F127	1	5	5	5
individualised	BA45B96CDD19418387D57EEE75A1F127	1	7	7	3
imposter	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	8	4
disloyal	BA45B96CDD19418387D57EEE75A1F127	1	4	7	1
nationwide	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	6	4
individual	BA45B96CDD19418387D57EEE75A1F127	1	7	6	5
fellowship	BA45B96CDD19418387D57EEE75A1F127	1	7	6	9
joint	BA45B96CDD19418387D57EEE75A1F127	1	5	6	6
communist	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	5	5
collective	BA45B96CDD19418387D57EEE75A1F127	1	6	5	6
spy	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	5	5
comradeship	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	5	5
devotee	FB945D44B8EEF3DB54C6A6262F22BF3A	1	5	6	5
nationalist	778DB4E5081C7C36C0A90A251889518D	1	7	8	5
communal	778DB4E5081C7C36C0A90A251889518D	1	8	9	3
loyalty	778DB4E5081C7C36C0A90A251889518D	1	9	9	9
clique	778DB4E5081C7C36C0A90A251889518D	1	5	5	4
