WORD	EXPRESSED_MORAL
abandon	1.6
abandoned	1.6
abandoning	1.6
abuse	2.5
abusers	2.5
abusing	2.5
abusive	2.5
admiration	8.57142857143
afflict	2.6
aghast	2.8
amicability	5.42857142857
amity	5.42857142857
analytically	3.2
angering	3.8333333333333295
annihilate	1.33333333333
annihilating	1.33333333333
annihilation	1.33333333333
anti-free-market	8.2
anti-free-trade	6.8
anti-market	8.2
anti-trade	6.8
anti-war	6.4
antiwar	6.4
appalled	2.8
appanage	8.8
appellant	3.2
apple-cart	3.8333333333333295
applecarts	3.8333333333333295
assasins	1.0
assassin	1.0
assassinate	1.6
assassination	1.0
attack	2.66666666667
attacked	2.66666666667
attacking	2.66666666667
bandage	2.2
bang	1.0
banged	1.0
banging	1.0
barbarity	3.4
battle	4.0
battles	4.0
beggar-thy-neighbour	6.8
belongings	8.8
beneficial	2.4
benefit	7.0
benefited	7.0
benefiting	7.0
benefitted	7.0
benefitting	7.0
beneift	7.0
bloodshed	1.66666666667
borken	2.1666666666666696
breaking	2.1666666666666696
broken	2.1666666666666696
brotherhood	5.42857142857
brotherliness	5.42857142857
brotherly	5.42857142857
brutal	2.33333333333
brutalise	1.2
brutalising	1.2
brutality	2.33333333333
brutally	2.33333333333
buck	1.0
callously	1.6
care	8.799999999999999
careand	8.8
caring	8.166666666669999
civilian	7.8
co-defendant	3.2
codefendant	3.2
codefendants	3.2
collateral	3.8333333333333295
collateralization	3.8333333333333295
collateralizing	3.8333333333333295
commiserate	8.0
commiseration	8.57142857143
compassion	7.0
compassionate	8.166666666669999
conciliator	8.6
concord	5.42857142857
condolences	8.57142857143
conflict-prevention	7.8
conserve	7.6
conserving	7.4
cordiality	5.42857142857
counter-attack	2.66666666667
counter-productive	2.4
counterattack	2.66666666667
counterproductive	2.4
cracked	2.1666666666666696
critical	3.2
critically	3.2
critically-endangered	4.6
cruel	2.33333333333
cruelly	1.6
cruelness	3.4
cruelties	3.4
cruelty	3.4
crush	2.4
crushed	2.4
crushee	2.4
crusher	2.8
crusherimpact	2.8
crusherjaw	2.8
crushers	2.8
crushes	2.4
crushing	2.4
custodianship	8.8
damage	3.0
damaged	1.75
damaging	2.4
decapitate	1.6
decimate	1.0
defendant	3.2
defenestrate	3.83333333333
defenestrated	3.83333333333
defenestration	3.83333333333
defense	5.0
defenseless	4.4
defenselessly	4.4
defensive	5.0
deglobalization	6.8
dehumanise	1.2
deleterious	2.4
demoralise	1.2
depository	8.8
deride	3.0
despoil	3.4
destory	1.0
destroy	1.0
destroyed	1.0
destroying	1.0
destruction	1.14285714285714
detriment	7.0
detrimental	2.4
devastate	1.0
devastation	1.14285714285714
devour	3.4
dignified	7.0
dignity	7.0
diminish	2.6
