WORD	EXPRESSED_MORAL
-sama	6.25
-san	6.25
abandoned	3.8
abide	4.16666666667
abideby	4.16666666667
abiding	4.16666666667
accept	3.85714285714
acrimony	2.4
admirable	6.4
admonish	5.0
adoration	6.666666666669999
adulterous	2.0
advalorem	6.4
agitate	2.8
agitated	2.8
agitating	2.8
agitation	2.8
agitators	2.8
alienate	4.28571428571
alienating	4.28571428571
allow	6.166666666669999
aloofness	3.0
anarchic	2.16666666667
anarchical	2.16666666667
animadvert	5.0
annoy	4.28571428571
antagonize	4.28571428571
anti-conformist	3.4
anti-hindi	2.8
anti-insurgent	2.55555555556
anti-junta	2.0
anti-traditionalist	5.88888888889
anxeity	6.0
anxieties	6.0
anxiety	6.0
anxiousness	6.0
apathy	3.0
apostacy	4.16666666667
apostasize	4.0
apostasy	4.0
apostate	4.16666666667
apostates	4.0
apostatized	4.0
apostatizing	4.0
arch-heretic	4.5
arduous	4.5
assenting	4.0
atkinson	5.0
authorative	7.833333333330001
authoritarian	8.2
authoritarianism	8.2
authoritative	7.833333333330001
authoritativeness	7.833333333330001
authoritive	7.833333333330001
authority	8.799999999999999
authroity	8.8
autocratic	8.2
bacchanalian	3.0
barracks	4.75
beleif	5.0
belief	5.0
believing	5.0
belligerent	3.5
bennett	5.0
betrayal	3.14285714286
betrayed	3.14285714286
betrayer	3.14285714286
betrayers	1.75
betraying	3.14285714286
blasphemer	4.5
boisterous	3.0
bourgeois	6.57142857143
bourgeoisie	6.57142857143
brother	7.666666666669999
brotherless	4.66666666667
calamitous	4.5
callousness	3.0
calss	6.875
caste	6.75
caste-based	6.75
caste-ridden	4.5
caste-system	6.75
casteism	6.75
casteist	6.75
casteless	4.5
castes	4.5
castigate	4.0
catagorize	6.0
categorise	6.0
categorize	6.0
cheated-on	2.0
cherish	3.6
cherished	3.6
cherishes	3.6
cherishing	3.6
child-rearing	6.0
childrearing	6.0
circumvent	3.0
class	6.875
classes	6.875
classification	6.0
classifies	6.0
classify	6.0
classifying	6.0
co-leader	7.1428571428600005
co-opt	3.0
co-recipients	6.333333333330001
command	7.285714285710001
commendable	6.4
commnad	7.285714285710001
complaince	6.8
compliance	6.8
compliance-related	6.8
compliancethe	6.8
compliancy	6.0
compliant	6.0
complied	6.833333333330001
complies	6.833333333330001
comply	6.833333333330001
complying	6.833333333330001
condemn	4.0
conform	6.833333333330001
conformant	6.0
conformist	3.4
conserve	5.0
considerate	7.6
contorl	8.0
control	8.0
controlled	8.0
controlling	8.0
conventicle	4.0
conventional	5.8
cormack	5.0
counter-insurgent	2.55555555556
counterinsurgent	2.55555555556
court-martialed	5.16666666667
court-martialled	5.16666666667
courteous	7.6
criticize	4.0
cuckolded	2.0
dad	7.666666666669999
dangerous	3.6
daughter	7.666666666669999
daughters	6.5
decidedly	4.8
decriminalisation	7.166666666669999
decriminalising	7.166666666669999
decriminalization	7.166666666669999
decry	4.0
dedicate	4.2
dedicated	4.2
dedicates	4.2
dedicating	4.2
defect	4.33333333333
defected	2.2
defecting	2.2
defection	2.2
defective	4.33333333333
defector	2.2
defects	4.33333333333
defer	4.57142857143
deference	4.42857142857
deferential	4.42857142857
deferentially	4.42857142857
defering	4.57142857143
deferral	4.57142857143
deferred	4.57142857143
deferring	4.57142857143
defiance	2.83333333333
defiant	3.5
defied	2.83333333333
defies	2.83333333333
definitive	7.833333333330001
defy	2.83333333333
defying	2.83333333333
deification	6.666666666669999
denounce	4.0
denouncing	4.0
deserted	3.8
deserter	2.2
desertion	2.28571428571
desolate	3.8
desolated	3.8
despise	7.0
despotic	8.2
destabilize	3.0
devious	3.6
devoted	4.2
devotedto	4.2
devoting	4.2
devotion	6.666666666669999
dictatorial	8.2
diehard	7.8
diffident	4.42857142857
directive	7.142857142857139
disagreement	2.4
disallow	4.16666666666667
discontented	2.625
discord	2.4
disdainful	4.42857142857
dishonor	6.0
disinterest	3.0
disloyal	4.55555555556
disloyalty	2.28571428571
disobedience	3.5
disobedient	3.5
disobey	3.16666666667
disobeyed	3.16666666667
disobeying	3.5
disorderliness	7.0
disrespect	3.66666666667
disrespectful	3.66666666667
disrespectfulness	3.66666666667
disrespecting	3.66666666667
dissension	2.4
dissent	3.83333333333
dissenter	3.83333333333
dissenters	3.83333333333
dissentient	4.0
dissenting	3.83333333333
dissention	3.83333333333
dissentions	2.4
dissidence	3.83333333333
dissident	2.0
disunity	2.4
divisiveness	2.4
dogmatical	4.0
dogmatically	4.6
dominance	6.833333333330001
domination	6.833333333330001
double-agent	2.2
duplicitous	3.6
dutiable	6.4
duties	7.166666666669999
duty	7.166666666669999
duty-paid	6.4
earth-mother	5.833333333330001
emeritus	7.2
endear	4.28571428571
entreat	5.0
epithet	6.25
estrange	4.28571428571
ever-loyal	5.125
exceptional	6.4
excisable	6.4
excise-equivalent	6.4
excommunicated	4.5
excoriate	4.0
exemplarily	6.4
exemplary	6.4
exemplified	6.4
exemplify	6.4
exemplifying	6.4
exigible	6.4
expostulate	5.0
faith	5.0
faithful	5.125
faithless	2.0
faithlessness	2.28571428571
fascistic	8.2
father	7.666666666669999
fatherhood	6.0
fathering	6.0
fatherland	6.333333333330001
fatherless	4.66666666667
fatherlessness	6.0
fatherlike	4.6
fatherliness	5.833333333330001
firmly-held	5.0
fixedly	4.6
flout	4.16666666667
flouting	2.83333333333
forbade	4.16666666666667
forbid	4.16666666666667
forbidding	4.16666666666667
forego	4.57142857143
forgo	4.57142857143
forsaken	3.8
fort	4.75
fortifications	4.75
fortress	4.75
fraught	4.5
fully-compliant	6.0
garrison	4.75
garrisoned	4.75
garrisoning	4.75
glynn	5.0
grandfather	7.666666666669999
grandmother	6.5
guerrilla	2.55555555556
guerrillas	2.55555555556
half-deserted	3.8
haphazardness	7.0
harrowing	4.5
hazardous	4.5
headstrong	2.7142857142900003
hegemony	6.833333333330001
heirarchical	7.714285714289999
heirarchy	6.42857142857
heresies	4.5
heresy	4.0
heretic	4.5
heretical	4.5
heritics	4.5
hierarchal	7.714285714289999
hierarchic	7.714285714289999
hierarchical	7.714285714289999
hierarchically	7.714285714289999
hierarchies	7.714285714289999
hierarchy	6.42857142857
hierarchy-based	7.714285714289999
high-treason	3.0
hinder	4.0
home-land	6.333333333330001
homeland	6.333333333330001
honary	7.2
honor	6.0
honoraria	5.25
honorarily	7.2
honorarium	5.25
honorary	7.2
honored	6.0
honoree	6.333333333330001
honorific	6.25
honoring	6.0
honors	6.333333333330001
honory	7.2
honourees	6.333333333330001
htsus	6.4
idolize	7.0
illegal	3.2
illegalise	5.1428571428600005
illegally	3.2
immovably	4.6
impede	4.0
impeding	4.0
impolite	7.6
incitement	3.0
incomprehension	3.0
indifference	3.0
indifferent	3.0
indignantly	5.0
indiscipline	5.16666666667
inductee	6.333333333330001
infidelity	2.0
inflexibly	4.6
infuriate	4.28571428571
inhibit	4.0
insolence	5.16666666667
insolent	3.5
insubordinate	4.55555555556
insubordination	5.16666666667
insurgencies	2.55555555556
insurgency	2.55555555556
insurgent	2.55555555556
insurrection	3.16666666667
insurrectionary	2.55555555556
insurrectionist	2.55555555556
johnston	5.0
judaizer	4.5
kdawson	4.375
lambast	4.0
law	8.666666666669999
law-breaking	2.16666666667
law-defying	2.16666666667
lawless	2.16666666667
lawlessness	2.16666666667
