LEMMA	EXPRESSED_MORAL
abandon	1.6
abuse	2.5
amity	5.42857142857
annihilation	1.33333333333
attack	2.66666666667
benefit	7.0
brutal	2.33333333333
brutalise	1.2
care	8.8
compassion	7.0
compassionate	8.166666666669999
cruelly	1.6
cruelty	3.4
crush	2.4
crusher	2.8
damage	3.0
defendant	3.2
defenestration	3.83333333333
defense	5.0
defenseless	4.4
destroy	1.0
detrimental	2.4
empathetic	6.8
empathy	8.5
endangered	4.6
endangerment	1.8
exploit	2.83333333333
fight	4.0
guard	6.8
hurt	2.2857142857099997
impair	2.6
kill	1.6
killer	1.0
peace	7.8
peaceable	7.8571428571399995
peacekeeping	7.8
peacemaker	8.6
peacenik	6.4
peacetime	7.8
preserve	7.6
protection	8.0
protectionism	6.8
protectionist	8.2
protector	8.57142857143
protectorship	8.8
ravage	3.4
ruin	1.4
safe	8.6
safeguard	6.0
safehold	6.6
safekeeping	8.8
safety	8.2
security	8.2
shelter	7.0
shield	7.5
spurn	3.0
stomp	2.33333333333
suffer	2.6
sympathetic	8.333333333330001
sympathize	8.0
sympathy	8.57142857143
violence	1.6666666666699999
violent	2.83333333333
war	1.6666666666699999
wound	2.2
disgusted	2.8
abuse	1.7142857142857097
quarrel	1.8333333333333302
healthcare	8.6
opponent	3.2
refuge	6.75
dignity	7.0
assassin	1.0
collateral	3.8333333333333304
destruction	1.14285714285714
bang	1.0
preserving	7.4
annihilation	1.16666666666667
broken	2.1666666666666696
intrusive	2.6
wrecked	1.75
critically	3.2
upsetting	3.8333333333333304
