LEMMA	EXPRESSED_MORAL
abstinence	7.714285714289999
adulterated	2.83333333333
adulterine	4.11111111111
adultery	1.5
apostasy	3.2
apostate	3.5
austerity	5.666666666669999
blemish	4.0
celibacy	8.0
celibate	7.625
chaste	7.57142857143
chastening	6.5
church	6.833333333330001
churchgoer	7.4
churchgoing	5.42857142857
churchman	7.0
clean	7.666666666669999
cleaner	7.5
cleanliness	7.6
cleansing	8.0
cleanup	6.5
contagion	2.7142857142900003
contagious	3.5
debauchee	2.6
debauchery	2.2
decent	8.0
decentalisation	5.0
depraved	3.25
desecration	2.75
dirt	2.375
dirtily	3.22222222222
dirty	3.0
disease	3.0
disgustingness	2.16666666667
exploit	3.16666666667
exploitatory	2.7142857142900003
filth	2.2
filthily	5.0
filthy	2.0
gross	2.625
heretic	2.5714285714300003
holy	8.5
impiety	3.5714285714300003
impious	3.2
indecent	2.8
innocent	8.4
integrity	7.8
intemperate	4.28571428571
lax	2.66666666667
limpid	4.5
maiden	7.4
modesty	8.166666666669999
obscene	1.4
pervert	3.16666666667
piety	7.42857142857
pious	7.0
preserve	6.833333333330001
pristine	7.0
profanatory	4.0
profanity	2.6
profligate	2.85714285714
promiscuous	3.14285714286
prostitution	3.2857142857099997
pure	9.0
pureblood	7.0
purebred	6.5
purity	7.1111111111100005
refined	6.8571428571399995
repulsive	2.4285714285699997
ruin	2.75
sacred	8.5
sacredness	8.4
saint	8.57142857143
sainthood	8.0
saintlike	8.333333333330001
saintliness	8.14285714286
sick	2.7142857142900003
sickening	2.25
sin	2.0
sinner	2.4285714285699997
slut	2.75
sluttish	1.33333333333
stainable	5.16666666667
stained	2.6
stainer	4.1428571428600005
stainless	6.166666666669999
sterile	7.8
sterilisation	4.375
tainted	2.0
tarnish	3.66666666667
tramp	3.0
trashy	1.33333333333
unadulterated	6.0
unchaste	2.66666666667
uncleanliness	2.76923076923
upright	6.0
virgin	7.555555555560001
virtuous	7.166666666669999
wanton	2.6
wholesome	8.4
whore	1.57142857143
wicked	1.8571428571400002
wretched	1.875
wretchedness	3.0
protect	7.75
lush	3.4
vertigo	4.8
freshener	7.83333333333333
deluded	3.0
priest	7.2
tasteless	5.33333333333333
saint	7.0
scam	2.3333333333333304
patina	3.3333333333333304
abstinence	4.5
sting	3.0
hygiene	5.857142857142861
prostitution	1.6666666666666698
perversion	1.7142857142857097
Catholics	6.0
