LEMMA	EXPRESSED_MORAL
abide	4.16666666667
agitation	2.8
alienate	4.28571428571
apostasy	4.0
apostate	4.16666666667
authoritarian	8.2
authoritative	7.833333333330001
authority	8.8
betrayal	3.14285714286
bourgeoisie	6.57142857143
caste	6.75
casteless	4.5
class	6.875
command	7.285714285710001
compliance	6.8
compliant	6.0
comply	6.833333333330001
control	8.0
defect	4.33333333333
defector	2.2
defer	4.57142857143
deferential	4.42857142857
defiance	2.83333333333
defiant	3.5
defy	2.83333333333
denounce	4.0
deserted	3.8
disloyal	4.55555555556
disloyalty	2.2857142857099997
disobedience	3.5
disobey	3.16666666667
disrespect	3.66666666667
dissension	2.4
dissent	3.83333333333
dissentient	4.0
dissident	2.0
dutiable	6.4
duty	7.166666666669999
father	7.666666666669999
fatherhood	6.0
fatherless	4.66666666667
fatherlike	4.6
fatherliness	5.833333333330001
heretic	4.5
hierarchical	7.714285714289999
hierarchy	6.42857142857
honor	6.0
honorarium	5.25
honorary	7.2
honoree	6.333333333330001
honorific	6.25
illegal	3.2
illegalise	5.1428571428600005
insubordination	5.16666666667
insurgent	2.55555555556
law	8.666666666669999
lawless	2.16666666667
leader	7.1428571428600005
leadership	8.8
legal	7.8
legalisation	7.166666666669999
loyal	5.125
loyalist	7.8
loyalty	5.4
mother	6.5
motherhood	6.333333333330001
motherland	6.333333333330001
motherless	3.66666666667
motherlike	5.375
motherliness	5.833333333330001
mutinous	2.625
nonconformist	3.4
obedience	5.28571428571
obey	4.4
obstruct	4.0
oppose	2.5
order	8.0
orderliness	7.0
permission	6.5
permit	6.166666666669999
position	7.6
preserve	5.0
protest	2.8
rank	7.2
ranker	5.0
rankin	5.0
rebel	3.0
rebellion	3.16666666667
rebellious	2.7142857142900003
refuse	3.85714285714
remonstrate	5.0
respect	5.8
revere	7.0
reverential	5.57142857143
riot	2.3
rioter	2.1428571428599996
riotous	3.0
sedition	3.0
serve	4.8
status	5.16666666667
submission	6.0
submit	4.75
submitter	4.375
subversion	1.2
subvert	3.0
supremacy	6.833333333330001
traditional	5.8
traditionalist	5.88888888889
traitor	1.75
treacherous	3.6
unfaithful	2.0
veneration	6.666666666669999
obedience	7.0
offence	3.8
forbid	4.16666666666667
garrison	4.75
mildly	4.8
mandate	7.142857142857139
rigidly	4.6
exemplary	6.4
perilous	4.5
anxiety	6.0
patience	5.75
polite	7.6
belief	5.0
cherish	3.6
devoted	4.2
indifference	3.0
revolt	2.0
classify	6.0
