WORD	EXPRESSED_MORAL
abandon	1.42857142857
abandoned	1.42857142857
abandoning	1.42857142857
acolytes	6.0
admirer	7.2
adoringly	7.0
affectionately	7.0
aficionado	7.2
age-cohort	6.0
agmut	6.0
allegence	8.9
allegiance	8.9
alleigance	8.9
alliegance	8.9
alliegence	8.9
allies	8.71428571429
allies-	8.71428571429
alligence	8.9
ally	8.71428571429
amicability	7.857142857142861
amity	7.857142857142861
anti-black	4.5
anti-integration	4.5
anti-nationalist	6.0
anti-patriot	7.857142857139999
anti-segregation	4.5
anti-southern	3.14285714286
antiphonally	7.5
apostacy	4.2
apostasize	3.8
apostasy	3.8
apostate	4.2
apostates	3.8
apostatized	3.8
apostatizing	3.8
archenemy	8.71428571429
assiduity	8.0
bandit	1.5
barbarity	3.3333333333333304
beguile	1.33333333333
behind-the-curtain	5.625
belittling	3.5
betrayal	1.0
betrayed	1.0
betrayer	1.0
betrayers	1.8
betraying	1.0
bhakta	7.2
brigand	1.5
brigands	1.5
brotherhood	7.857142857142861
brotherliness	7.857142857142861
brotherly	7.857142857142861
brutality	3.3333333333333304
cadre	6.0
call-and-answer	7.5
camaderie	7.57142857143
camaraderie	7.57142857143
cameraderie	7.57142857143
camraderie	7.57142857143
caringly	7.0
ceo	6.375
chearfulness	8.0
cheated-on	2.375
choir-like	7.5
chorus	7.5
chorused	7.5
clannish	5.4
clap	7.5
clap-clap-clap	7.5
claping	7.5
clapped	7.5
clapping	7.5
clique	5.88888888889
clique-ish	5.4
clique-y	5.88888888889
cliques	5.4
cliquey	5.4
cliquish	5.4
cliquishness	5.88888888889
co-founder	6.375
co-founders	6.375
cofounder	6.375
cohort	6.0
cohort-based	6.0
collective	7.333333333330001
collectively	7.333333333330001
collectivism	7.1111111111100005
collectivist	6.4
collectivistic	7.1111111111100005
collectivists	7.1111111111100005
collectivity	7.333333333330001
comaraderie	7.57142857143
commie	3.85714285714
commitment	6.4
committment	6.4
communal	6.2
communal-style	6.2
communality	6.2
communally	6.2
communard	5.375
communards	5.375
commune	5.375
communism	4.42857142857
communist	3.85714285714
communistic	3.85714285714
communists	4.42857142857
communitarian	6.4
communitarianism	7.1111111111100005
communities	6.2
community	6.2
communtiy	6.2
compatriot	7.1428571428600005
compatriots	7.1428571428600005
comradely	7.57142857143
comraderie	7.57142857143
comradery	7.57142857143
comradeship	7.57142857143
concord	7.857142857142861
confidant	8.71428571429
confidante	8.71428571429
constitutionalist	7.857142857139999
consular	6.33333333333333
consulate	6.33333333333333
consulate-general	6.33333333333333
cordiality	7.857142857142861
corps	6.0
coterie	6.0
coteries	5.88888888889
country-wide	6.0
countrywide	6.0
coward	3.25
cowardice	3.25
cowardliness	3.25
cowardly	3.25
cowardness	3.25
cowards	3.25
cruel	3.3333333333333304
cruelness	3.3333333333333304
cruelties	3.3333333333333304
cruelty	3.3333333333333304
customised	4.0
dangerous	1.57142857143
de-segregation	4.75
deceit	1.125
deceive	1.33333333333
deceiving	1.33333333333
deception	1.125
deceptions	1.125
deciet	1.125
decieve	1.33333333333
dedicate	8.0
dedicated	8.0
dedicates	8.0
dedicating	8.0
dedication	6.4
defraud	1.33333333333
delicately	7.0
delude	1.33333333333
demeaning	3.5
demoralise	1.6
denigrating	3.5
desegregation	4.75
deserted	2.77777777778
desertion	1.83333333333
desolate	2.77777777778
desolated	2.77777777778
desperado	1.5
devious	1.57142857143
devo-	8.0
devoted	8.0
devotedness	8.0
devotedto	8.0
devotee	7.2
devoting	8.0
devotion	8.0
diehard	7.555555555560001
disgruntled	2.375
dishonesty	1.125
disloyal	1.85714285714
disloyalty	1.83333333333
disrespectful	3.5
disrespecting	3.5
disunited	8.5
dixiecrat	3.14285714286
dixiecrats	4.5
doppelganger	2.28571428571
duplicitous	1.57142857143
duplicity	1.125
embassey	6.33333333333333
embassy	6.33333333333333
embittered	2.375
enemy	8.71428571429
enmity	7.857142857142861
eschew	1.42857142857
espionage	2.875
ethno-national	7.0
ethno-nationalism	6.83333333333333
ethno-nationalist	6.0
ethnonationalist	6.0
ever-loyal	8.875
ex-lover	2.375
faithful	8.875
faithlessness	1.83333333333
fake	2.28571428571
faker	2.28571428571
families	8.0
family	8.0
famliy	8.0
fanatic	7.2
