LEMMA,WORDID,VALENCE,AROUSAL,EXPRESSED_MORAL,VALENCE_STD,AROUSAL_STD,EXPRESSED_MORAL_STD
balance,25,6.4,3.2,5.6,1.3416407865,1.64316767252,3.1304951685
bias,26,2.6,4,5.2,1.67332005307,1.73205080757,2.683281573
bigot,27,4.6,4.4,3.6,2.30217288664,1.94935886896,1.3416407865
bigotry,28,2.2,6.2,4,1.64316767252,2.16794833887,3
constant,29,5.33333333333,5,4.5,0.516397779494,1.54919333848,0.836660026534
discrimination,30,3.25,5.875,4,1.66904592079,1.88509188863,2.50713268211
discriminatory,31,2.4,4.6,4,1.51657508881,1.94935886896,3.31662479036
dishonest,32,1.6,5.6,5.2,0.894427191,1.51657508881,3.03315017762
disproportion,33,4.16666666667,5.16666666667,3.16666666667,1.47196014439,1.32916013583,1.83484785927
disproportionate,34,3.2,3.8,3.6,2.04939015319,1.64316767252,2.40831891576
dissociate,35,4.33333333333,3.83333333333,3.83333333333,1.03279555899,1.60208197876,1.83484785927
egalitarian,36,5.8,5,6,0.836660026534,1.22474487139,2.64575131106
equable,37,5.8,4.8,6.2,1.30384048104,1.64316767252,2.7748873851
equal,38,6.25,6,7,0.957427107756,0,1.63299316186
equaliser,39,5.8,5.6,6.2,1.09544511501,1.67332005307,2.58843582111
equalitarian,40,6,5.16666666667,5.33333333333,3.22490309932,2.71416039811,3.66969571854
equity,41,7.25,5.125,5.125,1.48804761829,2.47487373415,2.85043856275
equivalent,42,6.5,3.5,5,1.97484176581,2.88097205818,3.03315017762
evenness,43,7.5,4.5,5.16666666667,1.22474487139,2.94957624075,2.99443929086
exclude,44,3.6,5,4.2,0.547722557505,1,1.92353840617
exclusion,45,3,5,3.6,1.41421356237,1.22474487139,2.70185121722
fair,46,7.4,6,9,1.1401754251,2.91547594742,0
fair-minded,47,6.33333333333,4.83333333333,7.16666666667,1.63299316186,2.31660671385,2.13697605664
fair-mindedness,48,8.14285714286,5.28571428571,8.71428571429,0.690065559342,3.14718316988,0.755928946018
homologous,49,4.5,4.5,2.5,0.707106781187,0.707106781187,2.12132034356
honest,50,8.2,6.8,7.2,0.836660026534,1.64316767252,3.03315017762
honesty,51,7.66666666667,6.5,7.66666666667,1.63299316186,2.73861278753,1.75119007154
impartial,52,5.8,5,8,2.58843582111,2.34520787991,1
injustice,53,2.16666666667,6.33333333333,6.5,1.32916013583,1.50554530542,2.16794833887
justice,54,6.6,3.4,7.6,0.894427191,1.67332005307,2.60768096208
justification,55,5.57142857143,5.28571428571,6.14285714286,0.786795792469,1.38013111868,2.60950643025
justificatory,56,5,5,5.5,2.82842712475,1.41421356237,3.53553390593
justify,57,6.42857142857,5.71428571429,5.71428571429,0.975900072949,0.951189731211,2.56347977785
preference,58,4.8,5,5.4,1.788854382,0.707106781187,2.96647939484
prejudgment,59,4.125,5.875,4.125,0.834522960396,1.12599162646,1.80772153355
prejudice,60,3.16666666667,4.66666666667,3.83333333333,2.13697605664,1.75119007154,2.85773803325
prejudicial,61,2.2,6,6,2.16794833887,0.707106781187,3.08220700148
reasonable,62,7.33333333333,5,5,1.8618986725,2.82842712475,3.16227766017
reciprocal,63,6.2,5,6.4,0.836660026534,1.58113883008,2.40831891576
right,64,7.83333333333,4.5,8.16666666667,1.60208197876,3.0166206258,1.32916013583
segregation,65,4.5,6.25,5.75,1.29099444874,1.5,2.98607881119
segregationism,66,2.8,4.8,2.2,2.04939015319,0.836660026534,1.788854382
segregationist,67,3.4,5.4,2.8,1.81659021246,1.1401754251,1.30384048104
tolerant,68,6.66666666667,4,7.16666666667,1.9663841605,2.2803508502,1.83484785927
unbiased,69,8,7,8.6,1.73205080757,1.87082869339,0.547722557505
unequal,70,3.83333333333,5.83333333333,4.5,2.99443929086,2.22860195339,3.33166624979
unequalised,71,7,6,4,2.82842712475,1.41421356237,2.82842712475
unequalled,72,4.16666666667,4,3.66666666667,1.60208197876,1.788854382,1.63299316186
unfair,73,3.875,6.375,4.625,2.41646140343,1.50594061731,3.24862608322
unjust,74,2.33333333333,6.5,6.33333333333,1.21106014164,2.25831795813,3.07679486912
unjustified,75,3.125,5.75,4.625,1.95940953205,1.58113883008,1.76776695297
unprejudiced,76,6.28571428571,4,6.71428571429,3.03942350423,2.76887462097,3.14718316988
unscrupulous,77,1.57142857143,5.42857142857,2.71428571429,0.975900072949,1.39727626201,2.05866345916
slavery,93,2.66666666666667,5.33333333333333,3.66666666666667,1.86189867250253,2.33809038890002,
impartial,88,6.33333333333333,3.5,7,2.25092573548455,2.89827534923789,
permanency,87,6,4.83333333333333,5.16666666666667,1.26491106406735,1.60208197875972,
wrongfully,85,3.4,5.4,5.4,1.14017542509914,2.07364413533277,
homophobic,97,3.28571428571429,4.85714285714286,4,1.70433620649269,2.76887462097269,
inhumane,79,1.83333333333333,5.33333333333333,4.66666666666667,0.983192080250175,3.82970843102535,
bigotry,83,3.5,3.83333333333333,4.33333333333333,2.81069386451104,3.07679486912382,
inaccurate,81,3.2,4.4,4.4,1.48323969741913,2.40831891575846,
subjective,95,5,2.75,5.5,0.816496580927726,1.91485421551268,
competent,92,5.8,5.6,6.4,0.836660026534076,1.94935886896179,
consumerism,86,5.5,6,5.5,1.97484176581315,2.81069386451104,
amplitude,82,5.66666666666667,5.83333333333333,5.16666666666667,1.211060141639,1.72240142436851,
honest,78,7.66666666666667,5.22222222222222,7.55555555555556,1.6583123951777,2.65099562009781,
disproportionately,80,4,4.71428571428571,3.28571428571429,2.3094010767585,2.75162289775117,
accepting,96,6.5,5,7.83333333333333,2.07364413533277,0.983192080250175,
relatively,89,6,5.375,4.875,1.60356745147455,2.58774584753383,
oppression,90,3.25,4,5.75,2.06155281280883,2.75378527364305,
proportionality,94,6.42857142857143,5,3,1.61834718742537,3.05505046330389,
