word,score,freq
anne,0.5154117280977827,177
frank,0.6461524513168991,1046
center,0.33287889305753027,4109
frequent,0.0,554
critic,0.6550007325765245,783
president,0.0,16916
trump,0.40839753491421277,8663
suggested,0.460755387984587,1583
tweet,0.5454730734734993,221
wednesday,0.5497944161740987,1381
escalation,0.4999049460218075,124
alarming,0.0,248
parallels,0.0,166
present,0.0,3817
nazi,0.5948251751913373,494
germany,0.0,1429
winter,0.0,459
num,0.7221001156025424,264887
are,0.5638253160749891,11184
elect,0.8443084439380292,534
michael,0.8989085617712654,2350
dukakis,0.0,205
moving,0.5794453936145197,1598
west,0.0,3122
wing,0.0,1516
high,0.4449215035712462,10466
hopes,0.632282921568327,969
eager,0.0,630
staff,0.7430673575537843,1923
ready,0.8080858243150624,1130
conquer,0.8332780307402823,83
world,0.0,19024
least,0.0,8113
beltway,0.0,153
many,0.0,22998
causes,0.0,1304
little,0.0,8933
time,0.0,23877
never,0.0,9796
fear,0.0,2321
say,0.0,11656
bounding,0.0,13
think,0.4068197130314601,12902
tank,0.2807292066718528,567
heroes,0.0,527
left,0.2711746472785534,7586
progressives,0.4321100645950745,332
heritage,0.0,745
foundation,0.811275231001906,2725
eight,0.3998019571108624,1649
years,0.0,22449
ago,0.0,4596
page,0.0,2894
mandate,0.0,683
leadership,0.0,1180
numerous,0.0,1131
leftist,0.5868027918030065,507
policy,0.4886017840065028,12288
groups,0.0,5226
want,0.0,9972
shape,0.0,741
formative,0.26306117268639206,42
months,0.20251036726689609,3917
next,0.0,5694
administration,0.0,7436
preferably,0.0,109
democratic,0.0,4758
one,0.4569582114289642,54237
agenda,0.0,1153
wishes,0.7561768281139352,532
exclusive,0.6170549590390387,558
audience,0.7963765089333807,1786
duke,0.0,255
getting,0.3969823498414269,3960
requires,0.0,2000
past,0.0,5178
equally,0.0,1197
inventive,0.5992475469147143,76
group,0.0,7573
suitors,0.7618380296762609,16
way,0.0,17147
seize,0.0,464
attention,0.0,2936
speed,0.0,952
hard,0.0,5291
institute,0.0,4158
studies,0.4792692164642162,3109
flashed,0.0,29
others,0.0,6781
release,0.8822928002104365,1345
winning,0.8970393621136384,1047
america,0.2443508759213559,10314
ideas,0.5634817331532068,4566
progressive,0.8975546435136806,1302
pages,0.0,2897
national,0.2603965896015341,13550
convention,0.48874028128196634,1620
unified,0.6872033693846721,211
systematic,0.0,331
features,0.6030710280151665,939
essays,0.0,628
pushing,0.5757564428915907,896
notions,0.2578456117425472,422
massive,0.15363045922554605,1813
tax,0.35219378617467884,15485
hike,0.0,249
higher,0.0,4699
income,0.32148203620439536,6601
americans,0.0,7646
federally,0.0,339
funded,0.0,1087
health,0.0,9305
child,0.0,3874
care,0.0,7024
billion,0.0,6344
defense,0.18706380008451945,5855
cut,0.0,3808
right,0.0,15977
hour,0.0,1792
work,0.0,14336
week,0.0,3414
without,0.6959555271942979,11512
pay,0.3996045813118227,7490
reduction,0.13725906854643438,1078
challenging,0.0,549
round,0.43965323181479865,697
liberal,0.7386749160864917,4049
supply,0.3330572050042819,3078
siders,0.5369978635159592,102
economic,0.7077651712807215,14132
argues,0.3748832383662648,2412
new,0.9071114751442948,41970
worry,0.3671276782206221,1096
competitiveness,0.0,180
budget,0.38627082191080225,4773
deficits,0.7983917403301876,765
advocates,0.0,1833
aggressive,0.0,709
government,0.14486312694504397,41833
tinkering,0.0,83
name,0.0,3581
growth,0.0,4696
job,0.066646621957595,4787
training,0.0,1493
investments,0.26797888751576754,1045
taxes,0.8621541734074899,6162
securities,0.5638754346113707,782
partnerships,0.5832314036618174,134
business,0.3241447704850492,11759
labor,0.3991620308836341,4645
incidentally,0.43736118995539863,305
surcharge,0.0,39
