LEMMA	EXPRESSED_MORAL
balance	5.6
bias	5.2
bigot	3.6
bigotry	4.0
constant	4.5
discrimination	4.0
discriminatory	4.0
dishonest	5.2
disproportion	3.16666666667
disproportionate	3.6
dissociate	3.83333333333
egalitarian	6.0
equable	6.2
equal	7.0
equaliser	6.2
equalitarian	5.33333333333
equity	5.125
equivalent	5.0
evenness	5.16666666667
exclude	4.2
exclusion	3.6
fair	9.0
fair-minded	7.166666666669999
fair-mindedness	8.71428571429
homologous	2.5
honest	7.2
honesty	7.666666666669999
impartial	8.0
injustice	6.5
justice	7.6
justification	6.1428571428600005
justificatory	5.5
justify	5.71428571429
preference	5.4
prejudgment	4.125
prejudice	3.83333333333
prejudicial	6.0
reasonable	5.0
reciprocal	6.4
right	8.166666666669999
segregation	5.75
segregationism	2.2
segregationist	2.8
tolerant	7.166666666669999
unbiased	8.6
unequal	4.5
unequalised	4.0
unequalled	3.66666666667
unfair	4.625
unjust	6.333333333330001
unjustified	4.625
unprejudiced	6.71428571429
unscrupulous	2.7142857142900003
slavery	3.6666666666666696
impartial	7.0
permanency	5.16666666666667
wrongfully	5.4
homophobic	4.0
inhumane	4.66666666666667
bigotry	4.33333333333333
inaccurate	4.4
subjective	5.5
competent	6.4
consumerism	5.5
amplitude	5.16666666666667
honest	7.55555555555556
disproportionately	3.28571428571429
accepting	7.83333333333333
relatively	4.875
oppression	5.75
proportionality	3.0
