LEMMA	EXPRESSED_MORAL
abandon	1.42857142857
ally	8.71428571429
apostasy	3.8
apostate	4.2
betrayal	1.0
cadre	6.0
clique	5.88888888889
cliquish	5.4
cohort	6.0
collective	7.333333333330001
collectivism	7.1111111111100005
collectivist	6.4
communal	6.2
commune	5.375
communism	4.42857142857
communist	3.85714285714
community	6.2
comradeship	7.57142857143
deceit	1.125
deceive	1.33333333333
deserted	2.77777777778
devoted	8.0
devotedness	8.0
devotee	7.2
disloyal	1.8571428571400002
disloyalty	1.8333333333300001
family	8.0
fellow	7.1428571428600005
fellowship	8.166666666669999
foreign	4.5
group	6.375
guild	7.1428571428600005
homeland	7.1428571428600005
immigration	4.83333333333
imposter	2.2857142857099997
individual	4.28571428571
individualised	4.0
individualistic	3.8
insider	5.625
jilted	2.375
joint	6.833333333330001
loyal	8.875
loyalist	7.555555555560001
loyalty	7.555555555560001
member	6.625
miscreant	2.8
national	5.2
nationalisation	5.6
nationalist	6.0
nationhood	7.0
nationwide	6.0
patriot	7.8571428571399995
renegade	4.16666666667
segregation	4.75
segregationism	3.14285714286
segregationist	4.5
sequester	4.71428571429
solidarity	8.6
spy	2.875
terrorise	1.6
terrorism	3.85714285714
terrorist	2.66666666667
together	7.2
traitor	1.8
treacherous	1.57142857143
unison	7.5
united	8.5
allegiance	8.9
dedication	6.4
founder	6.375
lust	4.42857142857143
siding	7.5
amity	7.857142857142861
cowardice	3.25
loyalist	8.571428571428571
bandit	1.5
nationalism	6.83333333333333
consulate	6.33333333333333
rogue	2.6666666666666696
insulting	3.5
cruelty	3.3333333333333304
clap	7.5
lovingly	7.0
