WORD	EXPRESSED_MORAL
-stained	5.16666666667
Catholics	6.0
abhorrent	2.42857142857
abject	3.0
abjectness	3.0
abominable	1.875
abstinence	7.714285714289999
abstinence-based	7.714285714289999
abstinence-only	7.714285714289999
abstinence-until-marriage	7.714285714289999
abstinent	7.714285714289999
acrophobia	4.8
adulterant	2.83333333333
adulterants	2.83333333333
adulterated	2.83333333333
adulterating	2.83333333333
adulteration	2.83333333333
adulterations	2.83333333333
adulterer	1.5
adulterine	4.11111111111
adulterous	1.5
adultery	1.5
air-freshener	7.83333333333333
airfreshner	7.83333333333333
amoral	3.25
anti-austerity	5.666666666669999
anti-catholics	6.0
antique-like	3.3333333333333304
antiseptic	7.8
apostacy	3.5
apostasize	3.2
apostasy	3.2
apostate	3.5
apostates	3.2
apostatized	3.2
apostatizing	3.2
appalling	2.25
arch-bishop	7.0
arch-heretic	2.5714285714300003
archdeacon	7.0
asceticism	7.42857142857
aseptic	7.8
atheistical	3.2
austerians	5.666666666669999
austerities	5.666666666669999
austerity	5.666666666669999
austerity-driven	5.666666666669999
austerity-lite	5.666666666669999
bacchanalia	2.2
bacchanalian	2.2
backslider	2.42857142857
barbarous	3.2
baseness	3.0
bashfulness	8.166666666669999
beatification	8.0
beatified	8.0
bed-hopping	3.14285714286
beggary	3.0
belt-tightening	5.666666666669999
besmirch	3.66666666667
bishop	7.0
blacken	3.66666666667
blackguardly	2.6
bland	5.33333333333333
blas-	3.5714285714300003
blasphemer	2.5714285714300003
blasphemous	3.2
blemish	4.0
blemished	4.0
blemishes	4.0
blemishing	4.0
blotch	4.0
bppv	4.8
brazen	2.6
brothels	3.28571428571
burnish	3.66666666667
canonisation	8.0
canonization	8.0
canonizing	8.0
capableness	8.333333333330001
catholic	6.0
catholicism	6.0
celebacy	7.625
celebate	8.0
celibacy	8.0
celibate	7.625
celibates	8.0
cesspit	2.2
cesspool	2.2
chaste	7.57142857143
chastely	7.57142857143
chasten	6.5
chastened	6.5
chasteness	7.57142857143
chasteneth	6.5
chastening	6.5
chastens	6.5
chastisement	6.5
chastity	8.0
chruch	6.833333333330001
church	6.833333333330001
church-attending	7.4
church-goer	5.42857142857
church-goers	7.4
church-going	7.4
church-member	7.4
churches	6.833333333330001
churchgoer	7.4
